id,nl_statement,lean4_src_header,lean4_formalization,lean4_prediction,beq_plus,typecheck
theorem_proving_zh_blue_735,"Proof: For any real number \(x\), we have
\[
\left|\sqrt{x^{2}+x + 1}-\sqrt{x^{2}-x + 1}\right|
\]

First, rationalize the expression \(\sqrt{x^{2}+x + 1}-\sqrt{x^{2}-x + 1}\) by multiplying and dividing by \(\sqrt{x^{2}+x + 1}+\sqrt{x^{2}-x + 1}\):

\[
\begin{align*}
\left|\sqrt{x^{2}+x + 1}-\sqrt{x^{2}-x + 1}\right|&=\left|\frac{(\sqrt{x^{2}+x + 1}-\sqrt{x^{2}-x + 1})(\sqrt{x^{2}+x + 1}+\sqrt{x^{2}-x + 1})}{\sqrt{x^{2}+x + 1}+\sqrt{x^{2}-x + 1}}\right|\\
&=\left|\frac{(x^{2}+x + 1)-(x^{2}-x + 1)}{\sqrt{x^{2}+x + 1}+\sqrt{x^{2}-x + 1}}\right|\\
&=\left|\frac{2x}{\sqrt{x^{2}+x + 1}+\sqrt{x^{2}-x + 1}}\right|
\end{align*}
\]

Since \(\sqrt{x^{2}+x + 1}> \sqrt{x^{2}}=\vert x\vert\) and \(\sqrt{x^{2}-x + 1}>\sqrt{x^{2}}=\vert x\vert\) for all real \(x\)

\[
\sqrt{x^{2}+x + 1}+\sqrt{x^{2}-x + 1}> 2\vert x\vert
\]

So \(\left|\frac{2x}{\sqrt{x^{2}+x + 1}+\sqrt{x^{2}-x + 1}}\right|<\left|\frac{2x}{2\vert x\vert}\right|\)

When \(x\neq0\), \(\left|\frac{2x}{2\vert x\vert}\right| =  1\)

When \(x = 0\), \(\left|\sqrt{x^{2}+x + 1}-\sqrt{x^{2}-x + 1}\right|=\left|\sqrt{1}-\sqrt{1}\right|=0<1\)

So for any real number \(x\), \(\left|\sqrt{x^{2}+x + 1}-\sqrt{x^{2}-x + 1}\right|<1\)","import Mathlib

open Real Set
open scoped BigOperators","theorem algebra_569189 (x : ℝ) :
  |sqrt (x^2 + x + 1) - sqrt (x^2 - x + 1)| < 1 := by","theorem my_favorite_theorem (x : ℝ) :
  |sqrt (x^2 + x + 1) - sqrt (x^2 - x + 1)| < 1 := by sorry",1,1
theorem_proving_zh_blue_692,"The positive real numbers \(a_1,a_2,\cdots,a_{2011}\) satisfy \(a_1 < a_2<\cdots < a_{2011}\). Prove that there must exist two numbers \(a_i,a_j\) (\(i < j\)) such that
\[a_j - a_i<\frac{(1 + a_i)(1 + a_j)}{2010}.\] ",import Mathlib,"theorem algebra_539177 (a : Fin 2011 → ℝ) (ha : StrictMono a)
    (ha' : ∀ i, 0 < a i) :
    ∃ i j, i < j ∧ a j - a i < ((1 + a i) * (1 + a j)) / 2010 := by","theorem my_favorite_theorem (a : Fin 2011 → ℝ) (ha : StrictMono a)
    (ha' : ∀ i j, i < j → a i < a j) :
    ∃ i j, i < j ∧ a j - a i < ((1 + a i) * (1 + a j)) / 2010 := by sorry",0,1
theorem_proving_zh_blue_671,"Let \(F\) be a finite set consisting of integers, satisfying the following conditions:
(1) For any \(x\in F\), there exist \(y,z\in F\) (they can be the same) such that \(x = y + z\);
(2) There exists \(n\in\mathbf{N}^*\) such that for any positive integer \(k(1\leqslant k\leqslant n)\) and any \(x_1,x_2,\cdots,x_k\in F\) (they can be the same), we have \(\sum_{i = 1}^{k}x_i\neq0\).

Prove that \(F\) contains at least \(2n + 2\) elements.",import Mathlib,"theorem theorem_proving_zh_blue_671 {F : Finset ℤ} (hF : ∀ x ∈ F, ∃ y z, x = y + z)
    (hn : ∃ n : ℕ, 0 < n ∧ ∀ k ∈ Finset.Icc 1 n, ∀ x : Fin k → ℤ,
      (∀ i, x i ∈ F) → ∑ i, x i ≠ 0) :
    F.card ≥ 2 * n + 2 := by","theorem my_favorite_theorem {F : Finset ℤ} (hF : ∀ x ∈ F, ∃ y ∈ F, ∃ z ∈ F, x = y + z)
    (hF' : ∃ n : ℕ, 0 < n ∧ ∀ k ∈ Finset.Icc 1 n, ∀ x ∈ Finset.univ ^ k, (∀ i ∈ Finset.range k, x i ∈ F) →
      ∑ i ∈ Finset.range k, x i ≠ 0) :
    F.card ≥ 2 * n + 2 := by sorry",0,0
theorem_proving_zh_blue_660,"Let \(a_0, a_1, a_2,\cdots\) be an arbitrary infinite sequence of positive real numbers.

Prove that the inequality \(1 + a_n>\sqrt[n]{2}a_{n - 1}\) holds for infinitely many positive integers \(n\).",import Mathlib,"theorem algebra_559763 (a : ℕ → ℝ) (ha : ∀ n, 0 < a n) :
    ∀ N, ∃ n, n > N ∧ 1 + a n > (2 ^ ((1 : ℝ) / n)) * a (n - 1) := by","theorem my_favorite_theorem (a : ℕ → ℝ) (ha : ∀ n, 0 < a n) :
    Set.Infinite {n | 1 + a n > (2:ℝ) ^ ((1:ℝ) / n) * a (n - 1)} := by sorry",0,1
theorem_proving_zh_blue_655,"Nine mathematicians meet at an international mathematics conference. It is found that among any three of them, at least two can communicate in the same language.
If each mathematician can speak at most three languages, prove that among these mathematicians, at least three can communicate in the same language. ",import Mathlib,"theorem algebra_439878 (a : Fin 9 → Finset (Fin 3)) (ha : ∀ i j k, i ≠ j ∧ i ≠ k ∧ j ≠ k → ∃ l, l ∈ a i ∧ l ∈ a j ∨ l ∈ a i ∧ l ∈ a k ∨ l ∈ a j ∧ l ∈ a k) (h : ∀ i, a i ≤ {0, 1, 2}) :
    ∃ i j k, i ≠ j ∧ i ≠ k ∧ j ≠ k ∧ ∃ l, l ∈ a i ∧ l ∈ a j ∧ l ∈ a k := by","theorem my_favorite_theorem (math : Fin 9 → Finset ℕ) (hmath : ∀ i j k, i ≠ j ∧ i ≠ k ∧ j ≠ k →
    (math i ∩ math j).nonempty ∨ (math i ∩ math k).nonempty ∨ (math j ∩ math k).nonempty)
    (hmath' : ∀ i, math i.card ≤ 3) :
    ∃ l, {i | l ∈ math i}.ncard ≥ 3 := by sorry",0,0
theorem_proving_zh_blue_643,"Let \(a\), \(b\), \(c\) be real numbers with \(|a|\lt1\), \(|b|\lt1\), \(|c|\lt1\). Prove that \(ab + bc+ca + 1\gt0\).",import Mathlib,"theorem algebra_528788 (a b c : ℝ) (ha : |a| < 1) (hb : |b| < 1) (hc : |c| < 1) :
    a * b + b * c + c * a + 1 > 0 := by","theorem my_favorite_theorem (a b c : ℝ) (ha : |a| < 1) (hb : |b| < 1) (hc : |c| < 1) :
    a * b + b * c + c * a + 1 > 0 := by sorry",1,1
theorem_proving_zh_blue_642,"The real numbers \(a\), \(b\), \(c\) satisfy \((a + c)(a + b + c)<0\). Prove that:
\[
(b - c)^{2}>4a(a + b + c).
\]",import Mathlib,"theorem algebra_539184 {a b c : ℝ} (h : (a + c) * (a + b + c) < 0) :
    (b - c)^2 > 4 * a * (a + b + c) := by","theorem my_favorite_theorem (a b c : ℝ) (h : (a + c) * (a + b + c) < 0) :
    (b - c) ^ 2 > 4 * a * (a + b + c) := by sorry",1,1
theorem_proving_zh_blue_614,"If the sequence \(\{a_n\}\) satisfies that for any \(n\in\mathbf{N}^*\), \(\sum_{d\mid n}a_d = 2^n\), prove that \(n\mid a_n\). ",import Mathlib,"theorem algebra_56552 {a : ℕ → ℕ} (ha : ∀ n, ∑ d in n.divisors, a d = 2 ^ n) :
    ∀ n, n ∣ a n := by","theorem my_favorite_theorem {a : ℕ → ℕ} (ha : ∀ n, ∑ d in n.divisors, a d = 2 ^ n) :
    ∀ n, n ∣ a n := by sorry",1,1
theorem_proving_zh_blue_394,"Let \(S = \{x_1,x_2,\cdots,x_n\}\) be a set of points in the plane such that the distance between any two points is at least \(1\). Prove that there are at most \(3n\) pairs of points whose distance is exactly \(1\). ",import Mathlib,"theorem algebra_535277 (n : ℕ) (f : Fin n → (EuclideanSpace ℝ (Fin 2)))
    (h₀ : ∀ i j, i ≠ j → dist (f i) (f j) ≥ 1) :
    Set.ncard {p : Fin n × Fin n | p.1 ≠ p.2 ∧ dist (f p.1) (f p.2) = 1} ≤ 3 * n := by","theorem my_favorite_theorem (n : ℕ) (hn : 0 < n) (S : Finset (EuclideanSpace ℝ (Fin 2)))
    (hS : S.card = n) (hS1 : ∀ x ∈ S, ∀ y ∈ S, x ≠ y → dist x y ≥ 1) :
    {(x, y) : (EuclideanSpace ℝ (Fin 2)) × (EuclideanSpace ℝ (Fin 2)) | x ∈ S ∧ y ∈ S ∧ dist x y = 1}.ncard ≤ 3 * n := by sorry",0,1
theorem_proving_zh_blue_318,"Do there exist infinitely many pairs of distinct positive integers \((a,b)\) such that \(a\mid b^{2} + 1\) and \(b\mid a^{2}+1\)?","import Mathlib

open Nat","theorem algebra_581399 : Set.Infinite {(a, b) : ℕ × ℕ | 0 < a ∧ 0 < b ∧ a ≠ b ∧ a ∣ b ^ 2 + 1 ∧ b ∣ a ^ 2 + 1} := by","theorem my_favorite_theorem :
    ∀ N : ℕ, ∃ a b : ℕ, a > N ∧ b > N ∧ a ≠ b ∧ a ∣ b^2 + 1 ∧ b ∣ a^2 + 1 := by sorry",0,1
